# ra,dec
18:08:24.0,+72:31:48
16:55:31.2,+72:36:00
02:21:09.6,+72:41:24
12:15:09.6,+72:54:36
09:19:55.2,+68:55:48
06:22:48.0,+68:59:24
20:53:43.7,+69:00:47
11:56:46.3,+69:02:10
18:15:37.2,+69:15:36
20:50:40.8,+69:19:12
16:09:19.2,+69:30:36
19:26:57.6,+69:36:36
12:19:26.4,+69:37:12
13:28:12.0,+64:52:48
02:07:26.4,+65:09:36
12:55:14.4,+65:46:48
13:42:00.0,+65:52:12
01:00:43.2,+66:03:00
20:15:14.4,+66:03:36
07:04:19.2,+66:08:24
07:55:04.8,+66:20:24
23:51:55.7,+63:05:54
08:30:36.0,+63:09:00
20:28:40.8,+63:11:24
12:42:24.0,+63:18:00
01:55:02.4,+63:22:48
03:01:12.0,+63:30:00
09:44:17.0,+63:30:18
14:48:00.0,+63:42:36
04:57:40.8,+61:11:24
13:09:40.6,+61:14:31
10:01:50.4,+61:16:12
01:51:36.0,+61:18:00
20:31:45.6,+61:18:00
05:12:31.2,+61:19:48
18:09:56.9,+61:21:12
06:06:48.0,+61:24:00
11:20:02.4,+60:03:36
03:16:31.2,+60:19:12
05:04:48.0,+60:27:36
16:21:36.0,+60:30:00
11:52:31.2,+60:45:36
23:52:48.0,+61:00:00
17:49:48.0,+61:01:48
15:49:24.0,+61:09:00
08:43:26.4,+58:34:48
06:48:33.6,+58:35:24
01:13:19.2,+58:38:24
21:40:27.1,+58:44:41
18:08:36.0,+58:47:24
22:09:55.2,+58:55:12
13:08:14.6,+58:59:07
10:05:16.8,+58:59:24
11:30:24.0,+56:54:00
10:53:57.6,+56:56:24
10:55:26.4,+56:58:12
09:08:00.0,+57:00:00
14:20:55.2,+57:00:36
21:11:37.0,+57:02:09
12:45:57.6,+57:24:36
14:42:21.6,+57:30:00
17:01:50.4,+55:01:12
00:01:33.6,+55:04:12
02:03:00.0,+55:13:12
00:05:26.4,+55:13:48
05:33:43.2,+55:18:00
15:14:04.8,+55:19:19
15:15:38.4,+55:31:48
01:54:44.2,+55:37:50
00:02:31.2,-58:33:00
03:38:36.0,-58:31:12
11:56:00.0,-58:25:48
14:42:36.0,-58:24:36
02:10:14.4,-58:13:48
02:45:02.4,-58:13:12
10:56:00.0,-58:12:00
09:21:30.0,-58:09:36
10:07:50.4,-59:22:48
08:34:25.9,-59:10:06
04:42:19.2,-59:04:48
18:42:55.4,-59:04:48
18:43:45.6,-59:01:12
13:08:33.6,-58:56:43
11:49:48.0,-58:38:24
13:38:35.0,-58:35:29
04:22:31.2,-61:32:24
14:00:07.2,-61:24:36
09:18:36.0,-61:19:48
10:12:48.0,-61:18:00
08:28:36.0,-61:07:12
11:28:48.0,-61:00:00
04:59:24.0,-60:54:36
13:17:26.4,-60:42:00
10:58:09.6,-62:37:12
20:06:48.0,-62:36:00
04:13:12.0,-62:36:00
14:45:48.0,-62:29:24
06:09:38.4,-62:28:48
10:14:50.4,-62:21:02
03:50:09.6,-62:20:24
18:27:02.4,-62:19:12
10:40:57.8,-64:02:35
21:09:20.9,-63:58:52
23:22:07.2,-63:46:48
22:25:31.2,-63:24:00
02:37:57.6,-63:04:12
04:44:02.6,-62:58:52
04:05:48.0,-62:48:00
20:46:00.5,-62:42:42
17:34:31.9,-64:45:38
09:18:26.4,-64:44:24
14:17:36.0,-64:44:24
15:36:24.0,-64:36:00
17:23:57.6,-64:30:36
06:23:02.4,-64:19:48
17:49:31.2,-64:06:36
01:18:33.6,-64:06:00
03:22:33.6,-69:17:24
04:37:14.4,-69:07:48
07:48:14.4,-69:01:48
08:02:00.0,-69:00:00
10:24:00.0,-68:54:00
12:38:26.4,-68:02:24
22:45:04.8,-67:51:36
18:13:43.2,-67:36:00
04:50:27.9,-72:31:11
14:51:00.0,-72:21:00
02:32:24.0,-72:12:00
16:07:36.2,-72:07:44
04:06:56.4,-71:55:59
14:50:57.6,-71:53:24
03:30:55.2,-71:52:12
17:48:04.8,-71:46:12
07:09:33.6,-73:19:12
20:58:07.2,-73:15:36
16:33:12.0,-73:11:24
07:00:52.3,-73:08:10
02:33:26.4,-73:04:48
06:36:24.0,-72:54:00
01:11:07.2,-72:51:00
01:02:36.5,-72:41:48
09:10:19.2,+88:36:19
00:19:27.4,+76:58:01
03:26:36.0,+77:10:12
09:00:16.8,+78:10:48
19:35:57.6,+78:21:27
06:16:57.6,+78:38:24
11:43:50.4,+78:49:48
00:59:33.6,+78:53:24
09:52:40.8,+79:00:36
08:23:21.6,-48:03:00
04:08:33.6,-47:54:00
03:23:07.2,-47:53:24
15:51:26.4,-47:51:00
16:03:36.0,-47:48:00
13:49:00.0,-47:46:48
00:17:14.4,-47:32:24
07:59:26.4,-47:27:00
19:28:19.2,-49:38:24
11:37:12.0,-49:30:00
21:04:21.6,-49:30:00
14:05:14.4,-49:29:24
11:46:28.8,-49:28:48
10:03:28.8,-49:26:24
18:51:31.2,-49:24:36
06:36:09.6,-48:54:00
16:10:43.2,-51:09:36
04:41:09.6,-51:07:48
01:47:45.6,-51:04:12
08:19:00.0,-51:02:24
20:00:06.5,-50:50:41
10:48:58.8,-50:48:05
06:16:36.0,-50:46:12
15:14:24.0,-50:42:00
11:56:13.4,-52:44:42
13:08:03.8,-52:44:31
11:30:50.4,-52:34:48
18:42:26.4,-52:31:12
03:03:43.2,-52:27:00
11:45:45.1,-52:24:50
23:41:19.2,-52:22:48
19:58:55.2,-52:11:24
22:03:12.0,-54:42:00
09:08:22.8,-54:26:18
18:14:16.8,-54:25:12
07:42:40.8,-54:21:00
01:27:36.0,-54:18:00
18:53:41.3,-54:16:52
22:36:02.4,-54:15:00
09:54:52.8,-54:02:24
07:59:12.0,-56:36:00
16:53:45.6,-56:34:12
03:48:03.8,-56:17:17
17:22:40.8,-56:03:36
17:50:24.0,-56:03:00
02:54:47.7,-55:55:44
10:20:38.4,-55:54:36
13:23:33.8,-55:52:59
05:56:37.7,-57:58:37
17:57:36.0,-57:54:00
22:47:39.1,-57:53:39
21:52:16.3,-57:44:42
18:40:00.0,-57:24:00
13:44:31.2,-57:21:36
11:52:09.6,-57:21:00
20:04:50.4,-57:12:36
09:12:28.8,-33:01:48
00:01:36.0,-32:54:00
17:56:00.0,-32:48:00
20:40:57.6,-32:46:48
01:03:16.8,-32:45:36
02:37:38.4,-32:43:12
10:04:55.2,-32:36:00
19:01:45.6,-32:35:24
09:41:52.8,-35:12:00
20:41:48.0,-34:49:48
10:00:45.6,-34:42:36
15:52:24.0,-34:37:12
23:44:48.0,-34:36:00
00:48:55.3,-34:33:58
19:24:14.4,-34:26:24
15:54:48.0,-34:19:12
16:00:57.6,-35:45:00
17:02:19.2,-35:36:00
23:43:12.0,-35:36:00
15:43:33.6,-35:36:00
00:43:12.0,-35:36:00
21:42:28.8,-35:31:12
06:06:21.6,-35:30:00
14:46:30.5,-35:27:22
12:17:46.8,-37:05:10
18:58:43.2,-37:01:48
21:27:04.8,-36:53:24
09:45:31.2,-36:52:48
17:10:54.7,-36:42:54
08:33:33.6,-36:33:36
22:40:00.0,-36:24:36
18:16:28.8,-36:23:24
19:17:16.8,-39:40:12
15:06:16.8,-39:33:00
21:01:19.2,-39:26:24
20:34:14.4,-39:21:36
15:42:40.8,-39:20:24
13:29:04.8,-39:12:00
20:19:50.4,-39:10:48
21:28:24.0,-39:06:00
01:03:10.8,-39:05:18
11:49:09.6,-40:37:48
18:05:21.6,-40:36:36
23:17:25.7,-40:14:32
16:03:24.0,-40:13:12
16:27:43.2,-40:10:48
03:35:04.8,-40:10:34
15:54:26.4,-40:04:12
07:28:37.7,-39:53:42
18:23:57.6,-42:05:24
07:38:45.6,-42:04:12
06:03:36.0,-42:00:00
15:25:16.8,-41:52:12
10:24:50.4,-41:47:24
18:05:03.8,-41:35:06
10:31:57.6,-41:31:12
15:09:12.0,-41:30:00
21:04:08.0,-43:58:00
06:55:38.4,-43:31:48
20:49:43.2,-43:31:48
13:37:09.6,-43:27:00
03:38:24.0,-43:18:00
07:13:12.0,-43:18:00
20:36:00.0,-43:14:24
13:26:19.2,-43:09:36
01:38:26.4,-45:34:48
14:19:04.3,-45:33:50
04:39:24.0,-45:26:24
07:41:08.6,-45:25:15
14:16:24.0,-45:25:12
14:04:24.0,-45:13:48
10:50:57.6,-44:56:24
21:38:43.2,-44:47:24
01:42:00.0,-47:24:00
23:52:38.4,-47:23:24
16:22:55.2,-47:22:12
03:08:45.6,-47:12:36
13:54:27.4,-47:06:00
13:40:16.8,-47:04:12
12:36:28.8,-46:51:00
20:25:04.8,-46:43:12
19:54:40.6,-22:32:17
07:36:33.4,-22:20:49
23:29:38.4,-22:18:36
11:17:09.6,-22:15:00
22:39:09.6,-22:13:48
20:56:52.8,-22:10:48
16:11:19.2,-22:09:00
14:34:17.8,-22:07:52
16:10:26.4,-22:07:12
12:42:57.6,-25:01:12
12:12:07.2,-24:56:24
01:45:00.0,-24:54:36
19:28:43.2,-24:51:36
01:24:45.6,-24:45:00
01:57:45.6,-24:40:12
21:45:57.6,-24:40:12
11:04:02.4,-24:36:00
23:53:40.8,-24:36:00
01:03:12.0,-24:30:00
15:22:33.6,-25:47:24
23:22:43.2,-25:39:36
12:41:12.0,-25:36:00
19:19:40.8,-25:32:24
23:13:27.4,-25:22:30
21:56:28.8,-25:21:00
15:55:21.6,-25:13:48
02:36:09.6,-25:13:48
08:17:31.2,-26:08:24
02:44:43.9,-26:08:02
02:44:43.9,-26:08:02
15:19:55.2,-26:07:12
01:48:28.8,-26:07:12
21:52:00.0,-25:58:48
22:42:00.0,-25:56:24
15:04:07.2,-25:49:48
05:38:28.3,-27:00:43
20:29:16.8,-27:00:00
10:55:16.8,-27:00:00
04:58:36.0,-26:58:48
07:56:24.0,-26:53:24
03:48:45.6,-26:52:12
12:02:16.8,-26:48:36
06:48:28.8,-26:39:36
08:44:57.6,-28:10:48
04:56:24.0,-28:00:36
13:50:00.0,-28:00:00
21:45:55.2,-27:54:08
07:18:38.4,-27:51:36
20:13:38.4,-27:46:12
01:11:52.8,-27:45:00
20:31:26.4,-27:43:48
12:41:12.0,-29:55:48
00:40:38.4,-29:46:12
22:37:25.4,-29:43:28
21:28:12.0,-29:36:36
14:24:09.6,-29:22:12
10:21:33.6,-29:18:00
07:28:44.2,-29:12:32
19:48:26.4,-29:10:48
23:33:12.0,-31:54:00
08:31:31.2,-31:49:48
12:14:09.6,-31:42:00
02:54:37.9,-31:40:30
05:11:12.0,-31:36:00
17:59:12.0,-31:36:00
08:01:33.6,-31:08:24
08:02:02.4,-31:07:48
10:29:00.0,-32:31:25
11:40:07.2,-32:18:36
01:07:14.4,-32:18:00
08:52:09.6,-32:13:48
04:25:07.2,-32:13:48
09:42:47.5,-32:13:44
13:30:24.0,-32:00:00
13:05:09.6,-31:56:24
22:00:36.0,-16:41:24
23:24:07.2,-16:35:24
06:49:55.2,-16:25:12
11:05:33.6,-16:23:20
05:22:16.8,-16:18:36
09:55:36.0,-16:18:00
12:11:02.2,-16:12:43
09:36:04.8,-16:12:36
00:07:49.2,-16:11:46
01:48:38.4,-16:06:36
06:46:48.0,-16:00:00
02:03:45.6,-15:57:00
04:20:04.8,-15:57:00
09:25:07.2,-15:47:24
21:27:07.2,-15:46:48
07:20:33.6,-15:40:48
03:24:50.4,-18:15:00
02:52:25.2,-18:01:30
08:45:12.0,-18:00:00
01:29:53.3,-17:59:47
22:04:00.7,-17:56:53
10:59:31.2,-17:56:24
22:21:52.8,-17:46:48
14:16:01.0,-17:41:20
02:26:19.9,-18:57:09
11:13:55.2,-18:56:24
19:10:48.0,-18:54:00
02:50:48.0,-18:54:00
08:11:07.2,-18:54:00
09:05:04.8,-18:49:12
02:02:04.8,-18:47:24
22:33:28.8,-18:44:24
07:23:55.2,-19:49:48
07:33:12.0,-19:42:00
07:24:48.0,-19:42:00
07:00:38.4,-19:40:12
22:04:31.2,-19:39:00
16:33:26.4,-19:30:00
11:48:49.0,-19:28:55
14:42:31.2,-19:20:24
04:28:19.2,-20:22:48
17:51:12.0,-20:18:00
15:38:59.5,-20:10:56
23:23:48.0,-20:05:24
19:40:50.4,-20:02:24
11:18:21.6,-20:01:59
00:38:50.4,-20:01:12
17:52:19.2,-20:00:36
19:58:49.0,-19:53:56
06:05:09.6,-20:56:24
03:32:57.6,-20:52:48
14:20:24.0,-20:51:36
13:12:43.2,-20:47:24
21:57:28.8,-20:43:57
09:49:31.2,-20:42:36
21:18:57.6,-20:31:48
23:13:28.8,-20:25:12
08:00:07.0,-09:48:11
05:30:48.0,-09:42:00
08:50:48.0,-09:42:00
17:11:45.4,-09:40:52
00:46:28.8,-09:38:24
17:13:24.0,-09:38:24
18:12:31.2,-09:31:52
08:02:43.2,-09:31:12
04:42:02.4,-10:54:00
21:33:36.0,-10:53:24
20:58:16.8,-10:52:12
00:50:10.1,-10:48:22
09:43:12.0,-10:48:00
21:17:07.2,-10:43:12
21:48:29.3,-10:32:49
14:54:55.2,-10:24:00
14:18:52.8,-11:33:00
08:55:26.4,-11:30:36
04:03:16.8,-11:29:24
20:01:40.8,-11:26:24
08:10:43.2,-11:25:48
04:43:48.0,-11:19:12
08:41:36.0,-11:18:00
09:03:12.0,-11:11:24
01:25:16.8,-12:26:24
23:22:00.7,-12:22:05
10:52:00.0,-12:19:12
12:26:33.6,-12:18:36
14:45:12.0,-12:18:00
16:38:34.3,-12:03:58
04:06:24.0,-12:00:00
20:56:24.0,-12:00:00
06:29:38.4,-11:57:00
13:46:33.6,-11:56:24
21:02:21.6,-11:56:24
20:29:16.3,-11:51:32
09:13:02.4,-11:51:00
19:49:24.0,-11:43:48
15:21:21.6,-11:41:24
18:37:55.2,-11:41:24
14:38:36.2,-13:48:55
01:02:48.0,-13:42:00
04:50:02.4,-13:42:00
19:01:57.6,-13:40:48
07:43:21.6,-13:35:24
17:06:21.6,-13:34:12
17:24:33.6,-13:27:00
00:27:00.0,-13:25:12
22:20:24.0,-02:53:24
06:09:12.0,-02:52:12
08:09:36.0,-02:48:00
07:34:19.2,-02:47:24
02:44:07.2,-02:43:48
05:16:48.0,-02:42:36
11:43:09.6,-02:31:12
14:41:01.2,-02:29:35
07:41:48.0,-03:59:24
01:16:31.2,-03:48:00
14:02:31.2,-03:43:48
06:52:16.8,-03:42:36
19:30:19.2,-03:34:12
11:23:05.0,-03:30:40
22:27:26.4,-03:28:12
05:56:40.8,-03:27:36
01:57:00.0,-03:22:12
18:59:12.0,-03:19:48
16:08:21.6,-03:08:24
09:29:38.4,-03:08:24
22:43:52.8,-03:06:00
03:00:24.0,-03:00:00
19:44:27.6,-02:57:36
23:41:07.2,-02:54:00
17:37:57.6,-06:55:12
04:01:36.0,-06:54:00
02:59:09.6,-06:52:12
19:18:00.0,-06:48:00
16:15:02.4,-06:40:48
06:35:17.0,-06:38:38
04:26:09.6,-06:37:12
23:24:16.8,-06:34:12
03:17:36.0,-05:40:12
07:39:14.4,-05:32:24
00:52:48.0,-05:30:00
12:25:09.6,-05:20:24
00:25:09.6,-05:04:12
06:21:09.6,-04:51:00
15:36:00.0,-04:42:00
07:17:09.6,-04:39:00
17:19:52.8,-09:04:12
02:45:52.8,-09:01:48
21:36:26.4,-08:58:48
18:53:12.0,-08:54:00
14:35:14.4,-08:54:00
11:03:55.2,-08:45:36
00:09:21.6,-08:45:00
14:39:43.2,-08:43:12
03:37:12.0,-08:36:00
21:01:02.4,-08:31:12
19:05:02.4,+03:54:25
10:39:57.6,+03:54:36
09:49:55.2,+03:57:36
14:09:36.0,+04:02:24
12:56:26.4,+04:12:00
19:15:50.4,+04:12:05
07:40:38.4,+04:17:24
13:15:10.6,+04:19:34
14:47:36.0,+03:12:00
16:05:02.4,+03:17:24
20:22:28.8,+03:22:48
06:54:48.0,+03:30:00
18:49:00.0,+03:32:24
23:27:40.8,+03:40:12
06:58:00.0,+03:42:00
06:06:31.3,+03:50:02
01:26:00.0,+03:52:12
03:55:30.0,+02:02:24
07:37:36.0,+02:17:24
07:28:09.6,+02:22:48
16:06:02.4,+02:23:24
21:22:14.4,+02:25:12
21:10:50.4,+02:28:12
11:43:24.0,+02:29:24
19:47:45.6,+02:36:00
17:01:43.2,+00:03:00
06:21:00.0,+00:09:36
09:29:07.2,+00:10:48
20:57:04.8,+00:12:36
01:56:19.2,+00:12:36
19:51:07.2,+00:15:36
02:56:12.7,+00:16:48
02:43:19.2,+00:18:36
07:07:24.0,+01:00:36
14:08:09.6,+01:05:24
20:08:24.0,+01:06:00
19:21:36.0,+01:13:12
10:08:12.0,+01:19:12
14:07:40.6,+01:19:59
21:44:33.6,+01:21:00
02:03:00.0,+01:32:24
04:53:16.8,-01:33:36
06:47:24.0,-01:22:12
07:21:07.2,-01:22:12
18:04:35.5,-01:21:40
13:55:36.0,-01:20:24
18:54:14.4,-01:06:36
17:49:09.6,-01:05:24
06:57:50.4,-01:01:12
13:00:40.8,-02:05:24
18:17:12.0,-02:00:00
00:02:09.6,-01:55:48
17:10:00.0,-01:54:00
20:58:55.2,-01:51:00
23:28:00.0,-01:49:48
21:40:04.8,-01:49:48
06:04:55.2,-01:45:00
05:07:00.0,+12:49:26
05:28:14.4,+13:00:00
04:29:16.8,+13:00:00
05:07:07.2,+13:00:36
17:30:36.0,+13:04:48
03:08:38.8,+13:09:28
22:31:16.8,+13:21:00
02:53:55.2,+13:22:12
20:42:50.4,+11:28:48
00:03:12.0,+11:30:00
12:29:02.4,+11:31:48
12:05:52.8,+11:39:00
12:25:28.8,+11:43:12
12:42:02.4,+11:51:00
01:51:21.6,+11:56:24
00:33:45.6,+11:59:24
15:57:26.4,+11:06:00
01:38:31.2,+11:11:24
09:47:04.8,+11:15:36
11:22:24.0,+11:18:00
05:07:11.2,+11:19:26
01:04:28.8,+11:21:36
23:24:45.6,+11:22:12
22:29:16.8,+11:27:00
04:37:45.6,+10:25:48
18:58:43.2,+10:40:12
07:17:02.4,+10:45:36
09:25:24.0,+10:45:36
21:18:04.8,+10:46:12
15:34:55.2,+10:58:01
15:56:38.4,+10:58:12
00:43:24.0,+11:01:12
23:01:33.6,+08:11:24
13:13:08.6,+08:12:19
02:47:36.0,+08:30:00
05:39:02.4,+08:30:00
18:35:16.8,+08:34:48
04:49:28.8,+08:37:48
14:38:45.6,+08:38:24
12:48:26.9,+08:41:30
21:47:36.0,+07:13:48
10:13:55.2,+07:16:48
06:32:24.0,+07:24:00
22:10:35.5,+07:28:07
11:45:00.0,+07:33:36
08:36:48.0,+07:36:00
16:23:31.7,+07:36:58
22:16:33.6,+07:45:36
23:05:57.6,+06:54:36
13:18:15.1,+06:55:21
06:33:35.8,+06:57:12
00:02:41.3,+07:00:14
02:35:38.4,+07:03:36
23:09:52.8,+07:06:36
00:19:05.5,+07:10:01
10:32:48.0,+07:12:00
18:23:21.6,+06:10:48
08:20:50.4,+06:12:00
12:40:36.0,+06:17:24
05:24:07.2,+06:18:36
08:06:52.8,+06:19:12
20:35:57.6,+06:19:48
23:41:48.0,+06:20:24
14:55:04.8,+06:22:48
13:50:22.1,+05:58:16
23:14:13.9,+05:59:15
17:14:02.4,+06:00:00
10:52:57.6,+06:01:12
21:47:33.6,+06:03:00
20:51:19.2,+06:06:00
06:40:19.2,+06:08:24
07:54:50.4,+06:09:00
12:46:50.4,+17:38:24
01:45:16.8,+17:39:00
00:33:55.2,+17:40:12
05:24:07.2,+17:42:36
13:30:09.6,+17:46:12
05:02:50.4,+17:56:24
21:20:09.6,+17:58:12
16:32:45.6,+18:03:36
14:29:14.9,+15:46:26
17:44:53.3,+15:50:02
23:03:28.8,+15:51:36
01:40:57.6,+15:53:24
16:17:31.2,+16:04:48
18:33:16.8,+16:05:24
15:46:12.0,+16:08:24
03:45:40.8,+16:13:48
15:52:04.8,+15:29:16
07:32:07.2,+15:29:24
16:28:11.5,+15:33:03
13:19:19.2,+15:37:12
12:52:28.8,+15:38:24
05:15:33.6,+15:39:00
15:15:45.6,+15:43:12
03:55:09.6,+15:43:48
02:32:57.6,+15:45:00
22:12:50.4,+14:16:12
09:05:45.6,+14:26:24
20:20:04.8,+14:27:00
19:06:33.6,+14:27:36
22:02:36.0,+14:28:12
02:13:40.8,+14:34:48
09:28:02.6,+14:35:24
04:31:36.0,+14:40:12
06:02:14.4,+21:00:36
18:52:48.0,+21:10:48
14:03:50.4,+21:11:24
06:58:48.0,+21:11:24
21:31:36.0,+21:12:00
23:29:12.0,+21:12:00
11:18:38.4,+21:15:00
03:20:26.4,+21:22:12
15:07:19.2,+19:46:48
13:27:24.0,+19:49:48
08:33:45.6,+19:56:24
16:46:24.0,+20:03:36
11:06:24.0,+20:06:36
14:41:02.4,+20:07:48
08:33:04.8,+20:11:24
22:33:02.4,+20:17:24
07:10:00.0,+20:18:00
09:54:48.0,+18:06:00
18:14:31.2,+18:06:36
21:57:28.8,+18:07:48
06:24:24.0,+18:12:00
22:04:40.8,+18:15:36
10:00:15.6,+18:17:57
10:31:02.4,+18:22:12
08:44:02.4,+18:22:48
00:09:07.2,+25:05:24
05:41:34.7,+25:05:42
15:10:55.2,+25:09:36
10:43:48.0,+25:13:48
12:49:12.0,+25:24:00
09:58:55.2,+25:24:00
14:03:12.0,+25:29:24
18:41:28.8,+25:38:24
07:43:16.8,+25:45:36
20:50:57.6,+24:27:36
11:27:31.2,+24:38:24
06:37:07.2,+24:42:00
18:24:54.0,+24:42:49
22:50:02.4,+24:44:24
08:53:12.0,+24:57:00
04:37:28.8,+25:00:36
06:50:00.0,+25:04:12
10:53:02.4,+25:05:24
00:50:46.2,+23:00:39
11:20:24.0,+23:03:36
20:17:38.4,+23:06:36
10:21:31.2,+23:07:12
03:43:11.6,+23:14:25
16:36:00.0,+23:32:24
10:29:02.4,+23:34:12
11:21:38.4,+23:45:36
07:36:52.8,+22:43:48
13:52:49.2,+22:47:24
22:40:55.2,+22:47:24
15:12:33.6,+22:48:00
15:31:26.4,+22:57:00
09:42:43.2,+22:57:00
16:27:48.0,+22:58:12
10:23:59.0,+22:59:53
08:00:24.0,+32:48:00
04:57:07.2,+32:51:00
23:53:12.0,+32:54:00
08:37:40.8,+32:58:12
08:32:48.0,+33:06:00
06:02:16.8,+33:07:48
11:30:55.2,+33:10:48
07:30:00.0,+33:12:00
10:40:24.0,+30:48:00
16:45:19.2,+30:48:00
19:50:31.2,+30:51:00
22:34:26.4,+30:52:48
02:56:16.4,+30:56:17
16:31:45.6,+31:01:12
19:18:55.2,+31:02:24
21:09:26.4,+31:03:36
16:26:24.0,+28:42:00
08:11:50.4,+28:48:00
14:54:52.8,+28:48:36
10:00:19.2,+28:48:36
10:29:57.6,+28:54:00
01:07:38.4,+29:10:12
14:59:44.4,+29:18:40
15:17:24.0,+29:24:00
14:57:40.8,+28:12:36
17:19:11.3,+28:12:56
19:15:21.6,+28:21:00
10:55:24.0,+28:23:24
22:51:00.0,+28:23:24
03:24:24.0,+28:28:48
15:52:40.8,+28:32:24
17:36:33.6,+28:34:48
12:21:52.8,+28:36:36
19:58:12.0,+26:29:24
13:20:38.4,+26:29:24
23:26:57.1,+26:34:43
18:18:26.4,+26:37:12
10:18:31.0,+26:38:13
07:47:12.0,+26:48:00
12:52:00.0,+26:48:00
05:11:09.6,+26:51:36
09:15:00.2,+33:47:42
23:34:24.0,+33:52:48
16:25:12.0,+33:55:12
00:41:16.5,+33:59:41
09:51:38.4,+34:00:36
05:37:19.2,+34:05:24
12:36:48.0,+34:06:00
01:31:12.0,+34:11:24
06:19:58.5,+33:24:27
10:00:45.6,+33:25:48
03:32:52.8,+33:28:12
02:02:33.9,+33:28:28
14:17:02.4,+33:33:00
10:45:02.4,+33:39:00
23:29:24.0,+33:39:36
15:52:07.2,+33:40:12
21:04:55.0,+32:08:09
00:47:12.0,+32:12:00
15:24:48.0,+32:12:00
08:57:04.8,+32:13:12
17:27:11.3,+32:15:47
23:30:40.8,+32:19:48
18:18:57.6,+32:21:00
05:25:18.7,+32:29:17
03:29:02.4,+31:37:48
00:36:14.4,+31:43:48
20:24:48.0,+31:44:24
21:07:12.0,+31:49:12
19:11:33.6,+31:56:24
02:13:55.2,+31:57:00
21:52:30.0,+32:00:51
13:00:16.1,+32:08:01
10:46:43.2,+40:39:36
19:20:36.0,+40:40:08
10:17:12.0,+40:42:00
20:14:55.2,+40:49:48
14:59:02.4,+40:52:12
02:31:33.6,+40:53:24
15:55:36.0,+40:54:00
18:33:12.0,+40:58:48
17:29:57.6,+39:15:36
19:28:52.3,+39:21:32
02:08:50.4,+39:22:48
01:34:57.6,+39:28:48
14:00:24.0,+39:30:00
07:04:28.8,+39:36:00
03:57:32.6,+39:42:04
08:41:33.6,+39:43:48
05:51:40.8,+38:10:12
07:26:02.4,+38:15:00
17:23:50.4,+38:17:24
13:01:33.6,+38:18:36
17:21:47.3,+38:18:58
04:16:43.2,+38:28:48
11:50:07.2,+38:32:24
14:23:12.0,+38:42:00
21:55:30.0,+37:04:02
21:29:38.6,+37:07:57
13:53:38.4,+37:10:12
06:55:19.2,+37:21:00
10:54:24.0,+37:24:00
08:52:33.6,+37:45:00
22:03:43.2,+37:47:24
06:11:26.2,+37:52:34
14:07:31.2,+34:33:36
07:02:00.0,+34:34:48
04:37:57.6,+34:44:24
04:22:43.2,+34:44:24
22:34:24.0,+34:51:00
23:22:40.8,+34:53:24
16:50:48.0,+34:54:00
03:03:26.4,+35:16:48
08:37:09.6,+43:40:12
01:41:16.8,+43:42:00
02:21:38.4,+43:54:36
05:16:04.8,+43:58:12
05:48:21.6,+43:58:48
00:17:09.6,+44:00:36
02:02:04.8,+44:06:00
04:15:51.8,+44:07:24
11:24:59.5,+42:20:35
10:24:48.0,+42:36:00
02:47:26.4,+42:39:36
06:01:55.2,+42:46:48
09:12:50.4,+42:49:48
15:06:45.6,+43:01:12
03:24:52.8,+43:01:12
07:50:36.0,+43:06:00
09:31:03.6,+43:08:31
13:18:50.2,+62:17:28
18:39:56.9,+62:23:35
08:51:16.8,+62:28:48
11:04:26.4,+62:31:48
00:33:07.2,+62:44:24
03:08:55.2,+62:46:48
12:14:36.0,+62:48:36
18:52:28.8,+63:03:00
11:58:19.4,+63:03:25
12:32:09.6,+61:28:48
07:50:26.4,+61:31:12
10:31:26.4,+61:48:00
00:44:04.8,+61:56:28
02:01:45.6,+62:03:36
02:53:52.8,+62:08:24
07:12:33.6,+62:11:24
11:05:19.2,+62:17:24
15:05:57.6,+59:36:36
18:44:27.4,+59:37:30
13:43:36.0,+59:43:12
01:10:52.8,+59:46:48
03:06:36.0,+59:48:36
20:52:40.8,+59:49:12
09:40:02.4,+59:52:12
16:15:28.8,+59:59:24
13:22:00.0,+59:06:36
01:46:00.0,+59:12:00
02:01:45.6,+59:16:55
00:12:26.4,+59:22:48
20:18:07.2,+59:24:36
13:04:26.4,+59:25:12
20:14:00.0,+59:33:36
18:59:12.0,+59:36:00
08:29:03.6,+58:11:24
11:21:48.0,+58:12:00
20:54:43.2,+58:15:00
21:13:33.6,+58:22:48
04:53:48.0,+58:24:36
16:56:04.8,+58:28:48
05:47:04.8,+58:33:00
21:33:12.0,+58:33:36
21:50:02.6,+57:30:59
20:05:59.5,+57:33:56
12:49:09.6,+57:34:48
02:46:26.4,+57:34:48
04:34:07.2,+57:39:36
06:18:24.0,+57:48:00
17:45:48.0,+57:49:12
23:26:21.6,+58:03:36
12:47:38.4,+55:40:12
17:02:21.6,+55:55:48
02:07:14.4,+56:13:48
11:21:12.0,+56:18:00
13:36:07.2,+56:20:24
05:18:45.6,+56:26:24
19:57:26.4,+56:28:48
01:53:09.6,+56:29:24
01:26:50.4,+56:30:36
22:37:00.5,+56:53:21
22:37:00.5,+56:53:21
02:09:12.0,+53:55:12
08:22:24.0,+54:00:00
20:02:24.0,+54:17:59
17:20:00.0,+54:18:00
