# ra,dec
21:27:12.0,-35:45:36
04:59:04.8,-37:52:12
00:22:28.8,-37:39:36
00:47:19.8,-37:37:09
00:47:19.8,-37:37:09
06:40:45.6,-37:24:36
00:37:02.4,-37:22:12
22:58:24.0,-37:20:24
03:58:52.8,-37:12:00
21:01:50.4,-38:31:48
01:21:00.0,-38:27:36
23:57:38.4,-38:13:48
21:10:31.2,-38:09:36
10:56:19.2,-38:06:36
19:52:00.0,-38:04:12
03:17:10.8,-38:03:03
02:38:40.8,-37:54:36
03:05:16.3,-39:00:40
17:04:24.0,-38:54:00
00:11:12.0,-38:52:48
05:45:19.2,-38:51:00
14:41:33.6,-38:50:24
08:06:24.0,-38:48:00
21:40:40.8,-38:39:36
22:09:49.4,-38:37:41
02:14:21.6,-27:34:48
13:59:16.8,-27:33:36
10:40:18.5,-27:33:18
21:33:24.0,-27:28:12
01:05:41.8,-27:20:35
18:04:05.0,-27:15:07
01:04:00.0,-27:12:00
23:36:43.2,-27:01:48
15:44:26.4,-28:30:00
17:09:57.6,-28:27:36
09:11:40.8,-28:27:36
15:28:19.7,-28:26:01
16:05:36.0,-28:24:00
00:02:45.6,-28:16:12
17:31:12.0,-28:12:00
15:07:04.8,-28:12:00
09:12:00.0,-29:09:36
17:44:09.6,-29:00:00
06:43:43.2,-28:59:24
19:20:45.6,-28:54:00
12:41:36.0,-28:51:00
05:54:00.4,-28:42:05
23:25:48.0,-28:39:36
18:42:01.0,-28:32:14
18:19:24.0,-31:06:36
12:04:31.2,-31:03:36
19:09:28.8,-31:03:00
16:12:26.4,-31:02:24
21:43:45.6,-30:53:24
00:37:48.0,-30:43:48
06:00:48.0,-30:34:12
07:23:36.0,-30:24:00
09:24:28.8,-30:24:00
01:19:54.4,-30:21:32
06:04:43.2,-30:21:00
14:16:48.0,-30:18:00
08:28:31.2,-30:15:36
01:10:33.6,-30:13:48
17:56:12.0,-30:13:12
21:59:02.4,-30:03:36
07:22:19.2,-23:48:36
20:38:19.2,-23:46:12
00:03:28.8,-23:42:36
09:08:19.2,-23:39:00
17:16:24.0,-23:12:00
18:56:00.0,-23:11:24
22:44:36.0,-23:09:36
11:38:00.0,-23:06:00
16:02:00.0,-24:30:00
20:17:16.0,-24:24:00
07:07:12.0,-24:18:00
23:09:21.6,-24:13:12
