# Ep_intrisinc | L(1e52) erg/s
55.35795598487618	|0.07025528649173059
56.958677047184835	|0.07499687790760672
58.65049052491862	|0.07931566668762091
60.82356495368705	|0.08557135796733589
63.29027969082289	|0.09265216292698665
65.85703265490307	|0.10035917437463558
68.52788092099172	|0.10857640527615761
71.30704609983667	|0.11751362346737176
73.16925451760022	|0.12468329420423506
76.09997244845549	|0.134109353365542
79.40912507581147	|0.14608514131608752
82.39764266351759	|0.15722201021608156
85.73929946410325	|0.17009506909482733
89.21647798365962	|0.18446602104684387
92.83467433905606	|0.19940957151616037
94.99965969519093	|0.20837261926578163
97.25014474749088	|0.21947176569761898
99.64449298841066	|0.22967794632676403
101.94869898725256	|0.2408390610158434
105.43834034950211	|0.25658654039642037
109.07003524407715	|0.27538218925042307
112.24924891479593	|0.29096235660036407
115.31444937647166	|0.30815794034995997
119.9910554237863	|0.33365719996459325
124.85732238731767	|0.3617018895223783
129.9209420124848	|0.3914745523639416
135.18991798534648	|0.42403826983386883
140.67257858343132	|0.4589420090881884
146.37758983962564	|0.49711781854702336
152.3139692399249	|0.538253011428293
158.49109997670186	|0.5827920334024825
165.25020246436839	|0.6387062889840556
171.60706635043178	|0.6834601141612011
178.41304538281898	|0.7416224104137018
185.13813989655915	|0.795532099200789
192.6464630018635	|0.8623984840943465
200.45928800982924	|0.9337596919613711
208.58896407051583	|1.011431884471009
217.04834115682124	|1.095565021419769
225.8507903754767	|1.186220147405384
235.01022510175702	|1.2848925579209298
244.54112297131638	|1.3884238153438238
254.9699641671638	|1.519709813566567
264.7781782151593	|1.6316334780993347
275.5163227940345	|1.765937651872396
286.68995548516347	|1.911296766191224
298.31673761676893	|2.0711140847694294
310.4150467766129	|2.2424933316552376
321.6902722695584	|2.4156559481868385
332.5064530006483	|2.5610709492368113
341.6517641319107	|2.7008320970900175
349.73427450017164	|2.8476522583831176
363.9178345997477	|3.084526259603965
378.6766124911338	|3.339762700347538
394.0339362743054	|3.619024366509772
410.01408012610966	|3.915343652147112
426.6423026686452	|4.241030580496065
443.9448868936841	|4.591964714086302
461.9491817062389	|4.975932029153477
480.6836451529355	|5.38767732603616
500.1778894035271	|5.833493464021921
520.2083408307775	|6.292883835468069
536.2354328435852	|6.6926838452331205
549.5163430804027	|7.031810773297108
563.53373680837	|7.398801417843389
585.0489308424219	|7.960045246940392
605.7912439850742	|8.573892181076163
632.143039353983	|9.28162565897541
653.5394680358152	|9.97870279723396
680.0439229840144	|10.800076869596479
707.6232726653694	|11.689060468012457
738.9870196126371	|12.883647594397733
768.4359272503988	|13.904555725579604
802.1465407695797	|15.064048202750563
832.592014636649	|16.188304623018784
864.6202604768291	|17.45449183575723
901.4933527472147	|19.0011017196575
931.3487938600031	|20.34611044820524
959.5545473553811	|21.57471420494288
990.3097396439575	|22.938380983731165
1030.4719963444466	|24.82650129203744
1072.2630433099462	|26.891624475546728
1105.713431771144	|28.589720495279096
1135.2763525806024	|30.435813105653324
1169.420606592064	|32.01088894824193
1216.8467488510296	|34.67362535697453
1266.1962700524277	|37.54277672057049
1317.547173305517	|40.64934281834764
1370.9806251549617	|44.01296909554859
1426.5810838747423	|47.67406502626868
1484.4364329650582	|51.61896860269167
1544.638120063215	|55.91274836313041
1607.2813014880926	|60.539381331471105
1672.4649926466498	|65.57518071505271
1740.292224540186	|71.02986900819931
1810.87020661777	|76.90740397671748
1884.3104962342293	|83.27128951561566
1960.729174980533	|90.19797920404811
2040.2470321653145	|97.62241933450625
2122.9897557375343	|105.74286768228099
2209.088130952037	|114.49281205289853
2298.678247092061	|124.06638249075172
2388.4464373260394	|133.7888820241338
2474.1721444900313	|145.23042762966492
