# Results from heasarc_batse4b: CGRO/BATSE 4B Catalog
# Coordinate system:  Equatorial
#%|trigger_num|name      |ra     |dec   |lii   |bii   |day_trigger|time                 |seconds_trigger|error_radius|earth_angle|overwrite|overwritten|max_cts_64|threshold_64|flux_64 |flux_64_error|flux_64_time|max_cts_256|threshold_256|flux_256|flux_256_error|flux_256_time|max_cts_1024|threshold_1024|flux_1024|flux_1024_error|flux_1024_time|t50     |t50_error|t50_start|t90     |t90_error|t90_start|fluence_1 |fluence_1_error|fluence_2 |fluence_2_error|fluence_3 |fluence_3_error|fluence_4 |fluence_4_error|comments_quality                                                      |comments_otherobs                                                     |comments_general                                                      |comments_position                    |comments_duration                                                     |
|      02713|4B 931228 |14 56.1|+52 35| 89.15| 55.57|       9349|1993-12-28 00:18:13.3|       1093.270|        1.73|     105.78|N        |N          |          |            |        |             |            |           |             |        |              |             |            |              |         |               |              |        |         |         |        |         |         |          |               |          |               |          |               |          |               |DATA GAP DURING BURST ACCUMULATION INTERVAL.                          |                                                                      |SOLAR FLARE AT ~T+400S IN LAD 0.                                      |                                     |VISUAL DURATION ESTIMATE OF &gt; 20 S, USING DISCLB AND TTS.             |
|      02782|4B 940126B|01 28.3|+52 35|128.60| -9.88|       9378|1994-01-26 18:56:24.7|      68184.727|        2.78|      80.14|N        |N          |          |            |        |             |            |           |             |        |              |             |            |              |         |               |              |        |         |         |        |         |         |          |               |          |               |          |               |          |               |DATA GAP DURING BURST ACCUMULATION INTERVAL. LIMITED DATA AVAILABLE.  |                                                                      |                                                                      |                                     |VISUAL DURATION ESTIMATE OF &gt; 50 S, USING DISCLB.                     |
|      04256|4B 960107 |09 34.0|+52 37|164.10| 45.58|      10089|1996-01-07 02:11:20.4|       7880.394|        7.11|      90.42|N        |N          |          |            |  1.1700|       0.1920|     -0.7680|           |             |  1.0790|        0.0960|       1.2160|            |              |   0.7770|         0.0460|        0.0000|        |         |         |        |         |         |5.2480e-07|     4.5439e-08|5.9794e-07|     4.0939e-08|1.0192e-06|     1.0205e-07|5.9683e-07|     9.6017e-07|                                                                      |                                                                      |                                                                      |                                     |DATA GAP STARTING AT T+216 S.; INCLUDES SIGNIFICANT PRE-TRIGGER EMISSI|
|      03412|4B 950211 |00 38.0|+52 39|120.87|-10.16|       9759|1995-02-11 02:24:57.8|       8697.777|        1.08|     104.10|N        |N          |          |            | 54.8200|       0.7600|      0.0000|           |             | 22.2180|        0.2490|       0.1280|            |              |   5.6320|         0.0730|        0.7680|   0.012|    0.006|   -0.007|   0.068|    0.006|   -0.007|8.7024e-08|     3.2313e-09|1.8675e-07|     4.5308e-09|1.1881e-06|     1.4688e-08|2.6412e-06|     9.0839e-08|                                                                      |                                                                      |                                                                      |                                     |                                                                      |
|      05487|4B 960605B|16 16.2|+52 48| 81.62| 44.46|      10239|1996-06-05 13:11:35.9|      47495.883|        3.51|     123.46|N        |N          |          |            |  0.8320|       0.2030|     -0.1920|           |             |  0.5230|        0.0980|      -0.1920|            |              |   0.4550|         0.0490|        0.3840|   5.056|    0.272|   -0.320|  12.128|    2.350|   -5.120|2.6749e-07|     3.0127e-08|2.7553e-07|     2.0228e-08|2.3312e-07|     4.0938e-08|0.0000e+00|     3.9213e-07|                                                                      |                                                                      |                                                                      |                                     |INCLUDES SIGNIFICANT PRE-TRIGGER EMISSION.                            |
|      02760|4B 940115 |14 09.7|+52 50| 98.71| 60.45|       9367|1994-01-15 03:43:30.2|      13410.200|        3.45|      65.61|N        |N          |     1.103|          66|  1.0360|       0.2410|      0.5120|      1.902|          132|  0.8650|        0.1180|       1.1520|       2.447|           264|   0.8150|         0.0580|        1.2800|   1.792|    0.143|    0.256|   4.672|    0.528|   -0.704|1.9804e-07|     2.2085e-08|2.0287e-07|     2.3276e-08|2.4531e-07|     6.1818e-08|2.7763e-06|     1.4624e-06|                                                                      |                                                                      |OCCULTATION STEP (RISE) AT ~T-880S IN LAD 5 (BG SOURCE).              |                                     |                                                                      |
|      02523|4B 930911 |11 53.2|+52 52|141.82| 62.07|       9241|1993-09-11 23:16:01.4|      83761.430|        4.90|     138.05|N        |N          |     1.849|          66|  1.5570|       0.2530|      0.3840|      3.158|          132|  1.3730|        0.1230|       0.4480|       1.898|           264|   0.8210|         0.0550|        0.9600|   0.312|    0.018|    0.232|   0.680|    0.115|    0.048|1.8079e-08|     3.5367e-09|2.5495e-08|     3.0127e-09|1.7712e-07|     8.6928e-09|7.4964e-07|     1.2367e-07|                                                                      |                                                                      |OCCULTATION STEP (RISE) AT ~T-50S IN LAD 2 &amp; 3 (BG SOURCE).           |                                     |                                                                      |
|      01416|4B 920218B|09 21.7|+52 58|164.26| 43.69|       8670|1992-02-18 11:03:11.9|      39791.922|        3.29|     110.91|N        |N          |     2.933|          60|  2.1420|       0.2620|      1.6000|      3.984|          121|  1.5030|        0.1190|       0.3840|       2.843|           242|   0.8880|         0.0530|        0.7680|   1.536|    0.143|    0.128|   3.456|    0.968|   -0.256|9.9680e-08|     6.2690e-09|1.1721e-07|     5.4608e-09|1.7024e-07|     1.1958e-08|3.3796e-08|     9.8254e-08|                                                                      |                                                                      |                                                                      |                                     |                                                                      |
|      05505|4B 960618 |13 17.5|+53 03|114.09| 63.63|      10252|1996-06-18 02:13:20.2|       8000.202|        4.56|     136.21|N        |N          |          |            |  1.0410|       0.1970|      1.7920|           |             |  0.7610|        0.0950|       2.3680|            |              |   0.6620|         0.0460|        2.6240|        |         |         |        |         |         |1.7268e-07|     2.8201e-08|2.4760e-07|     2.4134e-08|8.2285e-07|     6.4699e-08|1.7407e-06|     7.7818e-07|                                                                      |                                                                      |                                                                      |                                     |OCCULTATION STEP AT T+50 S.; VISUAL DURATION ESTIMATE OF ~ 35 S, BASED|
|      01566|4B 920423 |00 23.8|+53 10|118.74| -9.49|       8735|1992-04-23 17:40:22.6|      63622.570|        8.37|      93.07|N        |N          |     1.379|          66|  1.7260|       0.2600|      0.0000|   -999.000|         -999|  0.5030|        0.1080|       0.1280|    -999.000|          -999|   0.1390|         0.0500|        0.7680|   0.031|    0.009|   -0.035|   0.074|    0.060|   -0.047|1.7964e-09|     1.4269e-09|5.2493e-09|     1.5623e-09|2.6492e-08|     4.5370e-09|2.5347e-07|     1.1723e-07|                                                                      |                                                                      |OCCULTATION STEP AT T+500 S.                                          |                                     |                                                                      |
|      02893|4B 940327 |02 35.4|+53 14|138.24| -6.52|       9438|1994-03-27 20:24:36.8|      73476.758|        6.80|     109.37|N        |N          |          |            |  0.5740|       0.2080|      0.5760|           |             |  0.5030|        0.1010|       1.1520|            |              |   0.4300|         0.0500|        1.4080|   3.776|    0.373|   -1.536|  10.336|    1.541|   -5.120|1.1011e-07|     2.6341e-08|1.0816e-07|     2.3329e-08|0.0000e+00|     6.0404e-08|0.0000e+00|     6.6438e-07|DATA GAP DURING BURST ACCUMULATION INTERVAL.                          |ULYSSES RATE INCREASE                                                 |OCCULTATION STEP (DECAY) AT ~T-10S IN LAD 1.; OCCULTATION STEP (RISE) |                                     |                                                                      |
|      03107|4B 940806D|13 16.2|+53 17|114.62| 63.45|       9570|1994-08-06 02:09:45.1|       7785.140|        9.25|      94.11|N        |N          |          |            |        |             |            |           |             |        |              |             |            |              |         |               |              |        |         |         |        |         |         |          |               |          |               |          |               |          |               |DATA GAP DURING BURST ACCUMULATION INTERVAL.                          |                                                                      |                                                                      |                                     |VISUAL DURATION ESTIMATE OF &gt; 0.5 S, USING TTE AND PREB DATA.         |
|      02830|4B 940217B|23 32.4|+53 21|111.18| -7.71|       9400|1994-02-17 05:56:52.8|      21412.760|        6.29|     138.00|N        |N          |          |            |  0.9150|       0.2350|     -0.1280|           |             |  0.7200|        0.1140|      -0.0640|            |              |   0.5510|         0.0550|        0.5760|   1.472|    0.202|   -0.128|   3.264|    0.264|   -0.448|1.2794e-07|     1.2639e-08|1.0556e-07|     1.3151e-08|2.0708e-07|     3.0472e-08|0.0000e+00|     3.2913e-07|DATA GAP DURING BURST ACCUMULATION INTERVAL.                          |                                                                      |INTENSE BG MODULATION BY A0535+262 IN LAD 2 &amp; 6.                      |                                     |NON-BURST EMISSION AFTER T+7 S.                                       |
|      02992|4B 940526C|20 54.2|+53 28| 91.98|  5.51|       9498|1994-05-26 03:26:10.6|      12370.590|       12.68|      82.35|N        |N          |  -999.000|          71|  0.6210|       0.2250|      2.1120|   -999.000|          143|  0.5190|        0.1110|      -0.6400|       1.378|           286|   0.3330|         0.0530|       -0.0640|  11.840|    3.693|   -0.192|  16.832|    5.633|   -0.896|5.0998e-08|     1.9679e-08|1.0166e-07|     2.2256e-08|4.1506e-07|     6.0786e-08|2.3031e-07|     6.3809e-07|                                                                      |                                                                      |                                                                      |                                     |                                                                      |
