# beta, cdf
2.68355e+00 7.14286e-01
2.68360e+00 7.17857e-01
2.68576e+00 7.21429e-01
2.68808e+00 7.25000e-01
2.69187e+00 7.28571e-01
2.69554e+00 7.32143e-01
2.70450e+00 7.35714e-01
2.70604e+00 7.39286e-01
2.72136e+00 7.42857e-01
2.72586e+00 7.46429e-01
2.73049e+00 7.50000e-01
2.74616e+00 7.53571e-01
2.75087e+00 7.57143e-01
2.75317e+00 7.60714e-01
2.75504e+00 7.64286e-01
2.75909e+00 7.67857e-01
2.76532e+00 7.71429e-01
2.76592e+00 7.75000e-01
2.76851e+00 7.78571e-01
2.77923e+00 7.82143e-01
2.78338e+00 7.85714e-01
2.81742e+00 7.89286e-01
2.83515e+00 7.92857e-01
2.85924e+00 7.96429e-01
2.86500e+00 8.00000e-01
2.86688e+00 8.03571e-01
2.86829e+00 8.07143e-01
2.87255e+00 8.10714e-01
2.87337e+00 8.14286e-01
2.87621e+00 8.17857e-01
2.88288e+00 8.21429e-01
2.88796e+00 8.25000e-01
2.88948e+00 8.28571e-01
2.89037e+00 8.32143e-01
2.89143e+00 8.35714e-01
2.89394e+00 8.39286e-01
2.90923e+00 8.42857e-01
2.92251e+00 8.46429e-01
2.92770e+00 8.50000e-01
2.93881e+00 8.53571e-01
2.93920e+00 8.57143e-01
2.94305e+00 8.60714e-01
2.95971e+00 8.64286e-01
2.99635e+00 8.67857e-01
3.00385e+00 8.71429e-01
3.01190e+00 8.75000e-01
3.02477e+00 8.78571e-01
3.02616e+00 8.82143e-01
3.04286e+00 8.85714e-01
3.04431e+00 8.89286e-01
3.05370e+00 8.92857e-01
3.07715e+00 8.96429e-01
3.08373e+00 9.00000e-01
3.14171e+00 9.03571e-01
3.16661e+00 9.07143e-01
3.17019e+00 9.10714e-01
3.18291e+00 9.14286e-01
3.18979e+00 9.17857e-01
3.19759e+00 9.21429e-01
3.20905e+00 9.25000e-01
3.22180e+00 9.28571e-01
3.27110e+00 9.32143e-01
3.28154e+00 9.35714e-01
3.29399e+00 9.39286e-01
3.30386e+00 9.42857e-01
3.35769e+00 9.46429e-01
