#%GRB	BAT T90 [sec]	BAT Fluence (15-150 keV) [10^-7 erg/cm^2]	BAT Fluence 90% Error (15-150 keV) [10^-7 erg/cm^2]	BAT 1-sec Peak Photon Flux (15-150 keV) [ph/cm^2/sec]	BAT 1-sec Peak Photon Flux 90% Error (15-150 keV) [ph/cm^2/sec]	Redshift
050922C	4.500	16.20	0.54	7.26	0.32	2.198 (NOT: absorption)|2.198 (TNG: absorption)|2.199 (VLT: absorption)
050915A	52.000	8.50	0.88	0.77	0.14	2.5273 (TOUGH: emission)
050908	19.400	4.83	0.51	0.70	0.14	3.350 (VLT: absorption)|3.3437 (GMOS: absorption)|3.3440 (Keck: absorption)
050904	174.200	48.30	1.80	0.62	0.17	6.29 (Subaru: absorption)
050826	35.500	4.13	0.72	0.38	0.13	0.297 (MDM: emission from host)
050824	22.600	2.66	0.52	0.50	0.15	0.83 (VLT: emission)
050820A	26	34.40	2.42	2.45	0.23	2.612 (Keck: absorption)|2.6147 (VLT: absorption)
050819	37.700	3.50	0.55	0.38	0.12	2.5043 (TOUGH: emission)
050814	150.900	20.10	2.20	0.71	0.25	5.3 (NOT: photometric)
050813	0.450	0.44	0.11	0.94	0.23	1.8
050803	87.900	21.50	1.35	0.96	0.11	0.422 (Keck: emission)
050802	19.000	20.00	1.57	2.75	0.44	1.71 (NOT: absorption)|1.434 (TOUGH: emission)
050730	156.500	23.80	1.52	0.55	0.14	3.96855 (Magellan II: absorption)|3.97 (WHT: absorption)|3.968 (VLT: absorption)
050724	96.000	9.98	1.20	3.26	0.30	0.257 (GMOS: absorption)|0.258 (Keck: absorption)
050525A	8.800	153.00	2.21	41.70	0.94	0.606 (GMOS: emission)
050509B	0.073	0.09	0.02	0.28	0.10	0.225 (Keck: absorption)
050505	58.900	24.90	1.79	1.85	0.31	4.27 (Keck: absorption)
050416A	2.500	3.67	0.37	4.88	0.48	0.6535 (Keck: emission)
050408	n/a	n/a	n/a	n/a	n/a	1.236 (Magellan: absorption)|1.2357 (GMOS absorption)
050406	5.400	0.68	0.14	0.36	0.10	2.44 (UVOT: photometric)
050401	33.300	82.20	3.06	10.70	0.92	2.9 (VLT: absorption)
050319	152.500	13.10	1.48	1.52	0.21	3.24 (NOT: absorption)
050318	32	10.80	0.77	3.16	0.20	1.44 (Magellan: absorption)
050315	95.600	32.20	1.46	1.93	0.22	1.949 (Magellan: absorption)
050223	22.500	6.36	0.65	0.69	0.16	0.5915 (Magellan: emission from host)|0.584 (VLT: emission from host)
050126	24.800	8.38	0.80	0.71	0.17	1.29 (Keck: emission)
