 1.00000E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1.58489E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1.58489E+01  1.00000E+00  0.00000E+00  1.00000E+00  0.00000E+00
 2.51189E+01  1.00000E+00  0.00000E+00  1.00000E+00  0.00000E+00
 2.51189E+01  2.00000E+00  0.00000E+00  2.00000E+00  0.00000E+00
 3.98107E+01  2.00000E+00  0.00000E+00  2.00000E+00  0.00000E+00
 3.98107E+01  4.00000E+00  2.00000E+00  2.00000E+00  0.00000E+00
 6.30957E+01  4.00000E+00  2.00000E+00  2.00000E+00  0.00000E+00
 6.30957E+01  9.00000E+00  2.00000E+00  1.10000E+01  4.00000E+00
 1.00000E+02  9.00000E+00  2.00000E+00  1.10000E+01  4.00000E+00
 1.00000E+02  2.30000E+01  8.00000E+00  2.70000E+01  1.00000E+01
 1.58489E+02  2.30000E+01  8.00000E+00  2.70000E+01  1.00000E+01
 1.58489E+02  3.80000E+01  2.30000E+01  3.40000E+01  2.00000E+01
 2.51189E+02  3.80000E+01  2.30000E+01  3.40000E+01  2.00000E+01
 2.51189E+02  4.70000E+01  3.70000E+01  4.90000E+01  4.00000E+01
 3.98107E+02  4.70000E+01  3.70000E+01  4.90000E+01  4.00000E+01
 3.98107E+02  1.70000E+01  1.50000E+01  1.70000E+01  1.50000E+01
 6.30957E+02  1.70000E+01  1.50000E+01  1.70000E+01  1.50000E+01
 6.30957E+02  8.00000E+00  6.00000E+00  7.00000E+00  5.00000E+00
 1.00000E+03  8.00000E+00  6.00000E+00  7.00000E+00  5.00000E+00
 1.00000E+03  3.00000E+00  2.00000E+00  2.00000E+00  1.00000E+00
 1.58489E+03  3.00000E+00  2.00000E+00  2.00000E+00  1.00000E+00
 1.58489E+03  1.00000E+00  0.00000E+00  1.00000E+00  0.00000E+00
 2.51189E+03  1.00000E+00  0.00000E+00  1.00000E+00  0.00000E+00
 2.51189E+03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 3.98107E+03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 3.98107E+03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 6.30957E+03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 6.30957E+03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1.00000E+04  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
